ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-01-01,13729.229415189999,12207.98005476426,14703.45717957409,13729.229415189999,13729.229415189999,-281.5991379247606,-281.5991379247606,-281.5991379247606,-114.61800122611827,-114.61800122611827,-114.61800122611827,-166.9811366986423,-166.9811366986423,-166.9811366986423,0.0,0.0,0.0,13447.630277265238
2022-01-02,13728.962426390035,12276.942021806146,14913.717803902227,13728.962426390035,13728.962426390035,-118.88622367483269,-118.88622367483269,-118.88622367483269,35.01398845764228,35.01398845764228,35.01398845764228,-153.900212132475,-153.900212132475,-153.900212132475,0.0,0.0,0.0,13610.076202715203
2022-01-03,13728.695437590071,12106.370893279664,14758.553406203984,13728.695437590071,13728.695437590071,-277.76785034880095,-277.76785034880095,-277.76785034880095,-136.43076967913038,-136.43076967913038,-136.43076967913038,-141.33708066967057,-141.33708066967057,-141.33708066967057,0.0,0.0,0.0,13450.92758724127
2022-01-04,13728.428448790108,12380.102543727697,14878.593605915066,13728.428448790108,13728.428448790108,-46.44536867973517,-46.44536867973517,-46.44536867973517,83.05140624497002,83.05140624497002,83.05140624497002,-129.4967749247052,-129.4967749247052,-129.4967749247052,0.0,0.0,0.0,13681.983080110373
2022-01-05,13728.16145999014,12309.343620288364,14848.365037212317,13728.16145999014,13728.16145999014,-104.55427897542552,-104.55427897542552,-104.55427897542552,14.0008935956879,14.0008935956879,14.0008935956879,-118.55517257111342,-118.55517257111342,-118.55517257111342,0.0,0.0,0.0,13623.607181014715
2022-01-06,13727.894471190177,12517.173019699914,14944.18931026498,13727.894471190177,13727.894471190177,-27.74630850735748,-27.74630850735748,-27.74630850735748,80.91051298071022,80.91051298071022,80.91051298071022,-108.6568214880677,-108.6568214880677,-108.6568214880677,0.0,0.0,0.0,13700.148162682819
2022-01-07,13727.627482390213,12340.000474047862,14962.65048796598,13727.627482390213,13727.627482390213,-61.84141064735676,-61.84141064735676,-61.84141064735676,38.07196962479827,38.07196962479827,38.07196962479827,-99.91338027215502,-99.91338027215502,-99.91338027215502,0.0,0.0,0.0,13665.786071742856
2022-01-08,13727.36049359025,12287.108726454113,14899.975241164992,13727.36049359025,13727.36049359025,-207.02066548531909,-207.02066548531909,-207.02066548531909,-114.61800122564621,-114.61800122564621,-114.61800122564621,-92.40266425967286,-92.40266425967286,-92.40266425967286,0.0,0.0,0.0,13520.33982810493
2022-01-09,13727.093504790284,12355.031385682989,15055.091234081054,13727.093504790284,13727.093504790284,-51.15429163328982,-51.15429163328982,-51.15429163328982,35.01398845769818,35.01398845769818,35.01398845769818,-86.168280090988,-86.168280090988,-86.168280090988,0.0,0.0,0.0,13675.939213156995
2022-01-10,13726.82651599032,12266.23431210781,14760.299489064386,13726.82651599032,13726.82651599032,-217.65059592039313,-217.65059592039313,-217.65059592039313,-136.4307696791731,-136.4307696791731,-136.4307696791731,-81.21982624122006,-81.21982624122006,-81.21982624122006,0.0,0.0,0.0,13509.175920069927
2022-01-11,13726.559527190357,12395.975485405725,15008.74009657841,13726.559527190357,13726.559527190357,5.517773523121457,5.517773523121457,5.517773523121457,83.05140624530216,83.05140624530216,83.05140624530216,-77.5336327221807,-77.5336327221807,-77.5336327221807,0.0,0.0,0.0,13732.077300713478
2022-01-12,13726.292538390391,12457.091696624137,14877.407292826394,13726.292538390391,13726.292538390391,-61.053116546293914,-61.053116546293914,-61.053116546293914,14.000893596445085,14.000893596445085,14.000893596445085,-75.054010142739,-75.054010142739,-75.054010142739,0.0,0.0,0.0,13665.239421844097
2022-01-13,13726.025549590426,12410.848624435594,14992.011049980923,13726.025549590426,13726.025549590426,7.215536708566393,7.215536708566393,7.215536708566393,80.91051298052489,80.91051298052489,80.91051298052489,-73.6949762719585,-73.6949762719585,-73.6949762719585,0.0,0.0,0.0,13733.241086298993
2022-01-14,13725.758560790462,12481.497229435941,15016.000348198551,13725.758560790462,13725.758560790462,-35.27045730169431,-35.27045730169431,-35.27045730169431,38.07196962584431,38.07196962584431,38.07196962584431,-73.34242692753861,-73.34242692753861,-73.34242692753861,0.0,0.0,0.0,13690.488103488768
2022-01-15,13725.491571990498,12314.975820042662,14906.877683356799,13725.491571990498,13725.491571990498,-188.47471835920697,-188.47471835920697,-188.47471835920697,-114.61800122577854,-114.61800122577854,-114.61800122577854,-73.8567171334284,-73.8567171334284,-73.8567171334284,0.0,0.0,0.0,13537.016853631292
2022-01-16,13725.224583190535,12321.170135456096,14949.893149111222,13725.224583190535,13725.224583190535,-40.061629333931,-40.061629333931,-40.061629333931,35.01398845752573,35.01398845752573,35.01398845752573,-75.07561779145674,-75.07561779145674,-75.07561779145674,0.0,0.0,0.0,13685.162953856603
2022-01-17,13724.95759439057,12187.619385523796,14827.240840769868,13724.95759439057,13724.95759439057,-213.24838200588803,-213.24838200588803,-213.24838200588803,-136.43076967913686,-136.43076967913686,-136.43076967913686,-76.81761232675112,-76.81761232675112,-76.81761232675112,0.0,0.0,0.0,13511.709212384681
2022-01-18,13724.690605590606,12405.394241399134,14891.122528185168,13724.690605590606,13724.690605590606,4.165909569613502,4.165909569613502,4.165909569613502,83.05140624563427,83.05140624563427,83.05140624563427,-78.88549667602075,-78.88549667602075,-78.88549667602075,0.0,0.0,0.0,13728.85651516022
2022-01-19,13724.42361679064,12376.858761575606,14906.758805653984,13724.42361679064,13724.42361679064,-67.06935080701096,-67.06935080701096,-67.06935080701096,14.000893595835564,14.000893595835564,14.000893595835564,-81.07024440284653,-81.07024440284653,-81.07024440284653,0.0,0.0,0.0,13657.35426598363
2022-01-20,13724.156627990676,12469.928693640515,14995.646904737685,13724.156627990676,13724.156627990676,-2.24458353307569,-2.24458353307569,-2.24458353307569,80.91051298033958,80.91051298033958,80.91051298033958,-83.15509651341527,-83.15509651341527,-83.15509651341527,0.0,0.0,0.0,13721.9120444576
2022-01-21,13723.889639190711,12384.932034623596,14923.64426596198,13723.889639190711,13723.889639190711,-46.84786301386073,-46.84786301386073,-46.84786301386073,38.071969625284574,38.071969625284574,38.071969625284574,-84.9198326391453,-84.9198326391453,-84.9198326391453,0.0,0.0,0.0,13677.04177617685
2022-01-22,13723.622650390747,12380.490942576294,14803.476941337898,13723.622650390747,13723.622650390747,-200.76317786940356,-200.76317786940356,-200.76317786940356,-114.61800122542046,-114.61800122542046,-114.61800122542046,-86.1451766439831,-86.1451766439831,-86.1451766439831,0.0,0.0,0.0,13522.859472521344
2022-01-23,13723.355661590784,12399.817687592109,15087.145442507077,13723.355661590784,13723.355661590784,-51.603297008037465,-51.603297008037465,-51.603297008037465,35.01398845781004,35.01398845781004,35.01398845781004,-86.6172854658475,-86.6172854658475,-86.6172854658475,0.0,0.0,0.0,13671.752364582746
2022-01-24,13723.088672790816,12169.250771469746,14849.154155904276,13723.088672790816,13723.088672790816,-222.56303492698189,-222.56303492698189,-222.56303492698189,-136.43076967912222,-136.43076967912222,-136.43076967912222,-86.13226524785968,-86.13226524785968,-86.13226524785968,0.0,0.0,0.0,13500.525637863835
2022-01-25,13722.821684665108,12497.188596239892,14944.27617047542,13722.821684665108,13722.821684665108,-1.4492474977006173,-1.4492474977006173,-1.4492474977006173,83.0514062452253,83.0514062452253,83.0514062452253,-84.5006537429259,-84.5006537429259,-84.5006537429259,0.0,0.0,0.0,13721.372437167407
2022-01-26,13722.554696539399,12313.756057268947,14841.928201256113,13722.554696539399,13722.554696539399,-67.5509092519431,-67.5509092519431,-67.5509092519431,14.000893596003936,14.000893596003936,14.000893596003936,-81.55180284794703,-81.55180284794703,-81.55180284794703,0.0,0.0,0.0,13655.003787287456
2022-01-27,13722.287708413687,12380.24169152469,14965.967493026043,13722.287708413687,13722.287708413687,3.7724227577363663,3.7724227577363663,3.7724227577363663,80.91051298084473,80.91051298084473,80.91051298084473,-77.13809022310835,-77.13809022310835,-77.13809022310835,0.0,0.0,0.0,13726.060131171424
2022-01-28,13722.020720287977,12392.849196989879,14944.772615446049,13722.020720287977,13722.020720287977,-33.06691499805958,-33.06691499805958,-33.06691499805958,38.07196962538016,38.07196962538016,38.07196962538016,-71.13888462343974,-71.13888462343974,-71.13888462343974,0.0,0.0,0.0,13688.953805289917
2022-01-29,13721.753732162268,12235.09368063958,14770.304884137933,13721.753732162268,13721.753732162268,-178.082187382172,-178.082187382172,-178.082187382172,-114.61800122506234,-114.61800122506234,-114.61800122506234,-63.46418615710967,-63.46418615710967,-63.46418615710967,0.0,0.0,0.0,13543.671544780096
2022-01-30,13721.486744036558,12437.157456930283,15072.500755345454,13721.486744036558,13721.486744036558,-19.043872092316672,-19.043872092316672,-19.043872092316672,35.013988457615916,35.013988457615916,35.013988457615916,-54.05786054993259,-54.05786054993259,-54.05786054993259,0.0,0.0,0.0,13702.44287194424
2022-01-31,13721.219755910846,12265.541616096283,14895.624971867748,13721.219755910846,13721.219755910846,-179.33115565376477,-179.33115565376477,-179.33115565376477,-136.43076967908604,-136.43076967908604,-136.43076967908604,-42.90038597467874,-42.90038597467874,-42.90038597467874,0.0,0.0,0.0,13541.888600257082
2022-02-01,13720.952767785137,12483.845947651278,14981.193516230156,13720.952767785137,13720.952767785137,53.04037382227442,53.04037382227442,53.04037382227442,83.05140624555743,83.05140624555743,83.05140624555743,-30.011032423283012,-30.011032423283012,-30.011032423283012,0.0,0.0,0.0,13773.99314160741
2022-02-02,13720.685779659427,12456.569054462903,14980.63256392573,13720.685779659427,13720.685779659427,-1.4485036236601116,-1.4485036236601116,-1.4485036236601116,14.000893595583488,14.000893595583488,14.000893595583488,-15.449397219243599,-15.449397219243599,-15.449397219243599,0.0,0.0,0.0,13719.237276035767
2022-02-03,13720.418791533715,12471.096986055172,15042.112523019548,13720.418791533715,13720.418791533715,81.59428667905395,81.59428667905395,81.59428667905395,80.91051297996894,80.91051297996894,80.91051297996894,0.6837736990850023,0.6837736990850023,0.6837736990850023,0.0,0.0,0.0,13802.013078212769
2022-02-04,13720.151803408005,12513.771601089957,15067.658228793498,13720.151803408005,13720.151803408005,56.318510137043525,56.318510137043525,56.318510137043525,38.07196962577087,38.07196962577087,38.07196962577087,18.246540511272652,18.246540511272652,18.246540511272652,0.0,0.0,0.0,13776.470313545049
2022-02-05,13719.884815282296,12352.481451792943,14922.665702883469,13719.884815282296,13719.884815282296,-77.56145035071798,-77.56145035071798,-77.56145035071798,-114.61800122568512,-114.61800122568512,-114.61800122568512,37.05655087496715,37.05655087496715,37.05655087496715,0.0,0.0,0.0,13642.323364931577
2022-02-06,13719.617827156586,12482.321752252208,15077.903434516442,13719.617827156586,13719.617827156586,91.90667325236511,91.90667325236511,91.90667325236511,35.01398845767186,35.01398845767186,35.01398845767186,56.89268479469324,56.89268479469324,56.89268479469324,0.0,0.0,0.0,13811.52450040895
